"","scholar","author","year","keywd"
"1","title|url|year|num_citations|num_versions|cluster_id|url_pdf|url_citations|url_versions|url_citation|excerpt","authors","year","keywd"
"2","Calcul de la stabilité de vibrations périodiques de structures: étude comparative de quelques méthodes numériques|http://scholar.google.com/https://hal.archives-ouvertes.fr/hal-00935345/|2013|0|0|None|None|None|None|None|Plusieurs méthodes numériques pour le calcul de la stabilité de solution périodiques de systèmes dynamiques sont testées sur des structures non-linéaires. Une étude compararative en terme d'effort de programmation, de coût de calcul et de précision est  ...","Sébastien Boisvert","2014","all"
"3","Contribution à l'amélioration des méthodes d'optimisation de la gestion de la mémoire dans le cadre du calcul haute performance|http://www.theses.fr/2014VERS0014|2014|1|0|14533056564965215767|None|http://scholar.google.com/scholar?cites=14533056564965215767&as_sdt=2005&sciodt=1,5&hl=en|None|None|Résumé L'évolution des architectures des calculateurs actuels est telle que la mémoire devient un problème majeur pour les performances. L'étude décrite dans ce document montre qu'il est déjà possible d'observer des pertes importantes imputables aux  ...","Sébastien Boisvert","2014","all"
